Id,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류,시리즈_명
38968190,19,244,23,201210.0,2012,599.0,132242.0,3,2,0,2,2025-02-03 11:06:44+09:00,13,2568,49두7992,4,4,3,413.441,423.0429,0,0,0.0,그랜저,8.0
38972885,16,186,43,201609.0,2017,2450.0,89000.0,7,2,0,2,2025-02-03 17:12:23+09:00,13,1030,79조6615,0,1,2,0.0,30.518,0,0,0.0,스타렉스,1.0
27727555,74,230,28,200909.0,2010,390.0,153300.0,2,2,0,2,2025-02-04 10:46:35+09:00,8,1030,45마2968,2,0,6,104.461,0.0,0,0,0.0,아반떼,2.0
38977733,34,437,62,201903.0,2019,1570.0,26000.0,7,1,0,2,2025-02-04 14:21:32+09:00,7,1114,95로0776,1,0,0,48.0329,0.0,0,0,0.0,스타렉스,1.0
38916168,60,308,69,201810.0,2019,1090.0,84000.0,1,2,0,2,2025-02-05 11:38:50+09:00,7,1573,244무8837,0,0,1,0.0,0.0,1,0,0.0,쏘나타,5.0
38985198,56,391,54,201802.0,2018,1430.0,128800.0,7,2,0,2,2025-02-05 12:34:56+09:00,2,1563,05수6687,2,3,1,708.3496,417.4107,0,0,0.0,싼타페,7.0
38983969,46,379,98,202207.0,2023,3950.0,85200.0,3,2,0,2,2025-02-05 13:05:52+09:00,8,1030,258버1232,0,0,0,0.0,0.0,0,0,0.0,팰리세이드,9.0
38986441,77,353,62,201807.0,2018,1450.0,107526.0,3,2,0,2,2025-02-05 13:32:54+09:00,13,1765,13가5865,1,0,2,214.905,0.0,0,0,0.0,투싼,4.0
38641797,50,261,41,202409.0,2024,2452.0,2700.0,1,2,0,1,2025-02-05 15:00:33+09:00,1,1030,844조9775,0,0,0,0.0,0.0,0,0,0.0,스타리아,6.0
38646487,26,454,23,202410.0,2025,3066.0,980.0,6,2,0,0,2025-02-05 16:15:59+09:00,8,1030,224호7526,0,0,0,0.0,0.0,0,0,0.0,그랜저,8.0
38644652,50,261,41,202410.0,2025,2346.0,1230.0,1,2,0,1,2025-02-05 16:16:32+09:00,8,1030,815무3606,0,0,0,0.0,0.0,0,0,0.0,스타리아,6.0
38990194,22,454,0,201806.0,2019,2100.0,75555.0,6,2,0,2,2025-02-06 11:09:03+09:00,8,1030,69조1342,0,2,4,0.0,114.997,0,0,0.0,그랜저,8.0
38992525,31,421,64,201309.0,2014,760.0,120348.0,7,2,0,2,2025-02-06 11:46:23+09:00,5,3471,68조8050,4,0,2,471.7159,0.0,0,0,0.0,투싼,4.0
38612934,53,126,31,201108.0,2012,580.0,106734.0,7,2,0,2,2025-02-06 11:46:23+09:00,5,3471,16가8367,2,0,3,252.8948,0.0,0,0,0.0,싼타페,7.0
38621653,57,39,95,202008.0,2021,2640.0,37468.0,3,2,0,2,2025-02-06 13:03:11+09:00,13,2262,263다9777,0,1,1,0.0,106.9,0,0,0.0,쏘나타,5.0
37127030,77,390,41,201602.0,2016,1250.0,104335.0,7,2,0,2,2025-02-06 13:59:40+09:00,2,1135,58모0447,1,0,2,83.535,0.0,0,0,0.0,투싼,4.0
38995807,21,114,74,201806.0,2019,1950.0,73810.0,3,2,0,2,2025-02-06 17:05:52+09:00,12,3497,358누1709,0,0,3,0.0,0.0,1,0,0.0,그랜저,8.0
38868718,37,232,98,202204.0,2022,3620.0,21374.0,6,2,0,2,2025-02-07 10:43:24+09:00,6,889,145누6741,3,0,1,144.487,0.0,0,0,0.0,싼타페,7.0
38999758,69,35,74,201601.0,2016,589.0,130000.0,7,2,0,2,2025-02-07 11:49:40+09:00,1,2473,11버0332,1,0,0,380.8049,0.0,0,0,0.0,아반떼,2.0
38964997,19,251,23,201211.0,2012,700.0,130587.0,3,2,0,2,2025-02-07 13:37:40+09:00,4,1030,24라5727,7,3,6,1567.2853,194.093,1,0,0.0,그랜저,8.0
38952708,60,95,23,201704.0,2018,1600.0,24660.0,3,2,0,2,2025-02-07 18:04:10+09:00,8,1030,65무8056,1,1,1,180.117,120.142,0,0,0.0,쏘나타,5.0
38938527,41,430,23,202312.0,2024,2750.0,9053.0,6,2,0,2,2025-02-07 21:15:45+09:00,1,1377,356누5870,0,0,1,0.0,0.0,0,0,0.0,아반떼,2.0
38914662,28,93,23,199605.0,1996,1500.0,79000.0,3,2,0,2,2025-02-08 01:14:31+09:00,2,1030,61마4885,4,2,5,331.562,79.819,2,0,0.0,그랜저,8.0
38668262,19,253,23,201502.0,2015,880.0,133840.0,3,2,0,2,2025-02-08 11:46:23+09:00,3,1894,37라8179,3,1,5,129.5869,24.489,0,0,0.0,그랜저,8.0
39004456,48,216,19,200206.0,2002,190.0,190000.0,1,2,0,2,2025-02-08 12:26:31+09:00,2,3146,34라8343,2,3,0,85.007,116.8685,1,0,0.0,스타렉스,1.0
38960278,50,191,95,202402.0,2024,4890.0,39000.0,7,2,0,2,2025-02-09 13:03:51+09:00,1,1030,109호3216,0,0,0,0.0,0.0,0,0,0.0,스타리아,6.0
39006081,13,277,28,200709.0,2008,160.0,140000.0,1,2,0,2,2025-02-09 21:50:39+09:00,2,1030,26루6314,5,2,1,197.7516,580.665,0,0,0.0,쏘나타,5.0
39008722,35,139,90,202009.0,2020,3120.0,49816.0,1,2,0,2,2025-02-10 10:52:44+09:00,13,1765,101마3253,1,0,1,62.206,0.0,0,0,0.0,그랜저,8.0
