,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
28584,38519108,현대,아반떼 (CN7),1.6,모던,202007.0,2021,1550.0,62042.0,가솔린,오토,ORIGINAL,일반,2025-03-20 13:31:02.000 +09,경기,이든자동차,125도8854,1,0,3,44.382,0.0,1,0,,아반떼
15401,39239643,제네시스,G80 (RG3),가솔린 2.5 터보 2WD,(세부등급 없음),202211.0,2023,4690.0,42730.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:33:39.000 +09,경기,로얄모터스,242서6791,1,0,1,53.165,0.0,1,0,,제네시스
6441,38553122,현대,팰리세이드,디젤 2.2 2WD,익스클루시브,202001.0,2020,2690.0,108017.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:30:04.000 +09,경기,(주) 카체인지,288나6122,0,0,1,0.0,0.0,0,0,,팰리세이드
25422,39256341,현대,더 뉴 그랜저 IG,2.5,익스클루시브,202002.0,2020,2060.0,120165.0,가솔린,오토,ORIGINAL,일반,2025-03-19 15:26:42.000 +09,경남,지성모터스,123도1516,1,1,2,90.458,41.5369,1,0,,그랜저
16101,38935752,제네시스,GV70,2.5T 가솔린 AWD,(세부등급 없음),202201.0,2022,4299.0,27332.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:22:11.000 +09,대구,JJ모터스,227마8149,2,1,1,4456.0,275.0,0,0,,제네시스
4666,39035441,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202305.0,2023,3650.0,37327.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 20:41:24.000 +09,충북,청주모터스,144누5213,1,1,1,151.0438,211.429,0,0,,투싼
17165,38732726,제네시스,G70,2.0T,슈프림,201805.0,2018,2420.0,88541.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:04:02.000 +09,서울,주식회사 케이아우토,178어3998,1,0,4,144.9678,0.0,1,0,,제네시스
7210,39241053,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,201910.0,2019,2780.0,82358.0,가솔린,오토,ORIGINAL,일반,2025-03-18 20:22:34.000 +09,충남,드림자동차,124마4222,0,2,1,0.0,942.7,0,0,,팰리세이드
26032,38810024,현대,그랜저 하이브리드 (GN7),익스클루시브,,202305.0,2023,4040.0,34075.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-18 16:02:00.000 +09,울산,(주)마이카페이지,156하8677,0,0,0,0.0,0.0,0,0,,그랜저
22910,38997870,현대,더 뉴 그랜저 IG 하이브리드,르블랑,,202211.0,2023,3360.0,30651.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 23:25:10.000 +09,서울,롯데렌탈주식회사,228도3252,1,1,0,73.381,34.1449,1,0,,그랜저
